truck_id,config,stop_sequence,stop_type,address,latitude,longitude,size,total_distance,total_time
ROUTE_19,0S+0M+1L,2,depot_end,Depot - Return,41.2565,-95.9345,depot,9.15,43.0
ROUTE_20,0S+0M+1L,0,depot_start,Depot - Start,41.2565,-95.9345,depot,12.78,52.0
ROUTE_20,0S+0M+1L,1,delivery,"Omaha, NE, 68111",41.3456,-95.9017,large,12.78,52.0
ROUTE_20,0S+0M+1L,2,depot_end,Depot - Return,41.2565,-95.9345,depot,12.78,52.0
ROUTE_21,0S+0M+1L,0,depot_start,Depot - Start,41.2565,-95.9345,depot,12.53,51.0
ROUTE_21,0S+0M+1L,1,delivery,"Omaha NE, 68131",41.2978,-96.0419,large,12.53,51.0
ROUTE_21,0S+0M+1L,2,depot_end,Depot - Return,41.2565,-95.9345,depot,12.53,51.0
ROUTE_22,0S+0M+1L,0,depot_start,Depot - Start,41.2565,-95.9345,depot,8.62,42.0
ROUTE_22,0S+0M+1L,1,delivery,"Omaha, NE, 68106",41.2033,-95.9778,large,8.62,42.0
ROUTE_22,0S+0M+1L,2,depot_end,Depot - Return,41.2565,-95.9345,depot,8.62,42.0
ROUTE_23,0S+0M+1L,0,depot_start,Depot - Start,41.2565,-95.9345,depot,7.69,39.0
ROUTE_23,0S+0M+1L,1,delivery,"council bluffs iowa, 51501",41.2619,-95.8608,large,7.69,39.0
ROUTE_23,0S+0M+1L,2,depot_end,Depot - Return,41.2565,-95.9345,depot,7.69,39.0
